('INTERNALID','ROUTES_161'),
('E04220','69'),
('E04220','P69'),
('E04220','P76'),
('E04240','69'),
('E04240','P69'),
('E04240','P76'),
('E04250','69'),
('E04250','P69'),
('E04250','P76'),
('E04270','69'),
('E04270','P69'),
('E04270','P76'),
('E04290','69'),
('E04290','P69'),
('E04290','P76'),
('E04310','69'),
('E04310','P69'),
('E04310','P76'),
('E04320','68'),
('E04320','69'),
('E04320','P12'),
('E04320','P67'),
('E04320','P68'),
('E04320','P69'),
('E04320','P76'),
('E04350','69'),
('E04350','P69'),
('E04350','P76'),
('E04380','69'),
('E04380','P69'),
('E04380','P76'),
('E04400','69'),
('E04400','P69'),
('E04400','P76'),
('E04420','69'),
('E04420','P69'),
('E04420','P76'),
('E04140','59'),
('E04140','69'),
('E04140','P69'),
('E04140','P76'),
('E04410','69'),
('E04410','P69'),
('E04410','P76'),
('E04230','69'),
('E04230','P69'),
('E04230','P76'),
('E04280','69'),
('E04280','P69'),
('E04280','P76'),
('E04430','69'),
('E04430','P69'),
('E04430','P76'),
('E04450','68'),
('E04450','69'),
('E04450','P67'),
('E04450','P68'),
('E04450','P69'),
('E04470','69'),
('E04470','P69'),
('E04470','P76'),
('S35510','43'),
('S04530','48'),
('S35500','43'),
('S04270','48'),
('S04270','51L'),
('S04310','48'),
('S04330','48'),
('S04360','48'),
('S35460','43'),
('S04390','48'),
('S04400','48'),
('S04720','48'),
('S04410','48'),
('S04430','48'),
('S35250','48'),
('S04290','48'),
('S04290','51L'),
('S04290','54'),
('S04460','48'),
('S04480','48'),
('S04480','51L'),
('S04490','48'),
('S04500','48'),
('S04510','48'),
('S35470','43'),
('S04520','48'),
('S35490','43'),
('S04260','48'),
('S04620','48'),
('S04650','48'),
('S35590','43'),
('S47550','48'),
('S35600','43'),
('S35520','43'),
('S04770','48'),
('S04280','48'),
('S04320','48'),
('S04660','48'),
('S04670','48'),
('S04680','48'),
('S04730','48'),
('S04550','48'),
('S35280','48'),
('S35280','51L'),
('S04750','48'),
('S04760','48'),
('S35540','43'),
('E04510','89'),
('E04520','89'),
('E04540','89'),
('E04580','89'),
('E04645','71'),
('E04645','P71'),
('E04635','71'),
('E04635','P71'),
('N06210','16'),
('E04663','69'),
('N06430','O5'),
('N06450','12'),
('N06530','O5'),
('N06570','12'),
('N06770','O5'),
('N06875','O5'),
('N06930','12'),
('N07045','12'),
('N07070','12'),
('N06565','12'),
('N06680','12'),
('N06760','O5'),
('N07290','12'),
('X00390','43'),
('X00400','43'),
('E04665','75'),
('E04665','87'),
('E04680','75'),
('E04680','87'),
('E04666','75'),
('E04666','87'),
('E04667','75'),
('E04667','87'),
('E04670','75'),
('E04670','87'),
('E04690','75'),
('E04690','87'),
('N71290','P10'),
('N71293','P10'),
('N71292','P10'),
('N71291','P10'),
('E04740','59'),
('E70117','61A'),
('E04700','59'),
('E04700','61A'),
('S05235','56'),
('S70600','56'),
('S05232','56'),
('N71207','13'),
('N07730','13'),
('X00510','41'),
('X00440','41'),
('X00450','41'),
('X00460','41'),
('X00470','41'),
('X00490','41'),
('X00500','41'),
('N07750','21'),
('X00530','41'),
('X00540','41'),
('X00550','41'),
('X00700','36'),
('X00780','36'),
('X00710','36'),
('X00720','36'),
('X00800','36'),
('X00760','36'),
('X00590','36'),
('X00600','36'),
('X00620','36'),
('X00740','36'),
('X00640','36'),
('X00630','36'),
('X00670','36'),
('X00750','36'),
('X00570','36'),
('S05330','Y45'),
('S05350','Y45'),
('S05260','Y45'),
('S05270','Y45'),
('S05280','Y45'),
('S05370','Y45'),
('S05380','Y45'),
('S05390','Y45'),
('S05430','Y45'),
('E70013','77'),
('E70288','74'),
('E70288','89'),
('E04810','77'),
('E04820','77'),
('E04830','77'),
('E04840','77'),
('E05000','77'),
('E04850','77'),
('E04870','77'),
('E04880','77'),
('E04890','77'),
('E04900','77'),
('E04910','77'),
('E04920','77'),
('E04930','77'),
('E04940','77'),
('E04860','77'),
('S70264','54'),
('S70263','54'),
('S70262','54'),
('S05570','54'),
('S05480','44'),
('S05480','54'),
('S05510','54'),
('S70261','54'),
('S05540','44'),
('S05560','54'),
('E05220','58'),
('E05220','65'),
('E05220','93'),
('E05180','58'),
('E05180','65'),
('E05180','93'),
('E05190','58'),
('E05190','65'),
('E05190','93'),
('E05200','58'),
('E05200','65'),
('E05200','93'),
('E05230','65'),
('E05210','58'),
('E05210','65'),
('E05210','93'),
('E05240','65'),
('E05250','58'),
('E05250','65'),
('E05250','93'),
('E05260','58'),
('E05260','65'),
('E05260','93'),
('E70889','58'),
('E70889','93'),
('E05270','58'),
('E05270','65'),
('E05270','93'),
('E70888','58'),
('E70888','93'),
('E05280','58'),
('E05280','65'),
('E05280','93'),
('E05295','67'),
('E05300','77'),
('E05340','67'),
('E05350','77'),
('E05380','77'),
('E05390','67'),
('E05297','67'),
('E05460','77'),
('E05470','67'),
('E70368','82'),
('E70368','86'),
('E05515','82'),
('E05515','86'),
('E05510','82'),
('E05510','86'),
('E05520','74'),
('E05520','82'),
('E05520','86'),
('E05520','89'),
('N08000','18'),
('N08020','14'),
('N08020','18'),
('N08100','14'),
('N08090','14'),
('N08120','14'),
('W01200','24'),
('W01202','24'),
('W01204','24'),
('W01206','24'),
('N08180','14'),
('N08320','14'),
('N08250','14'),
('N08260','14'),
('N08270','14'),
('N08300','14'),
('N08440','14'),
('N08520','14'),
('N08630','14'),
('N08730','14'),
('N08735','14'),
('N08770','14'),
('N08780','14'),
('N08825','14'),
('N08845','14'),
('N08580','14'),
('N08590','14'),
('N08610','14'),
('N08620','14'),
('N08160','14'),
('N08150','14'),
('N08170','14'),
('N08190','14'),
('N08200','14'),
('N08220','14'),
('N08230','14'),
('N08240','14'),
('N08280','14'),
('N70022','14'),
('N71255','14'),
('N08350','14'),
('N08360','14'),
('N08380','14'),
('N08390','14'),
('N08410','14'),
('N08290','14'),
('N08420','14'),
('N08430','14'),
('N08450','14'),
('N08470','14'),
('N08490','14'),
('N08500','14'),
('N08510','14'),
('N08550','14'),
('N08560','14'),
('N08570','14'),
('N08650','14'),
('N08660','14'),
('N08670','14'),
('N08680','14'),
('N08690','14'),
('N08540','14'),
('N08700','14'),
('N08710','14'),
('N08720','14'),
('N71254','14'),
('N08750','14'),
('N08760','14'),
('N08810','14'),
('N08840','14'),
('N08870','14'),
('N08880','14'),
('E70780','83'),
('E70791','83'),
('E70788','83'),
('E70795','83'),
('E70777','83'),
('E70789','83'),
('E05670','81'),
('E70783','83'),
('E70793','83'),
('E70372','81'),
('E70782','83'),
('E70790','83'),
('E70794','83'),
('E70792','83'),
('E70785','83'),
('E70781','83'),
('E70784','83'),
('E05700','81'),
('E70779','83'),
('E70778','83'),
('E06050','65'),
('E70895','52L'),
('E70895','53L'),
('E70895','58'),
('E06140','52L'),
('E06140','53L'),
('E06140','58'),
('E06160','52L'),
('E06160','53L'),
('E06160','58'),
('E06180','52L'),
('E06180','53L'),
('E06180','58'),
('E06035','65'),
('E05910','65'),
('E70890','58'),
('E05920','52L'),
('E05920','53L'),
('E05940','65'),
('E05960','52L'),
('E05960','53L'),
('E05970','52L'),
('E05970','53L'),
('E05980','52L'),
('E05980','53L'),
('E05980','58'),
('E05990','52L'),
('E05990','53L'),
('E06010','52L'),
('E06010','53L'),
('E06030','65'),
('E06040','65'),
('E06045','52L'),
('E06045','53L'),
('E06045','58'),
('E06200','65'),
('E06200','74'),
('E06280','65'),
('E06280','74'),
('E70891','58'),
('E06215','52L'),
('E06215','53L'),
('E06230','65'),
('E06250','52L'),
('E06250','53L'),
('E70882','52L'),
('E70882','53L'),
('E70882','58'),
('E06450','67'),
('E06450','69'),
('E06470','67'),
('E06470','69'),
('E06390','67'),
('E06390','69'),
('E06410','67'),
