('INTERNALID','ROUTES_161'),
('E35380','64'),
('E35380','86'),
('P02270','28X'),
('P02270','G2'),
('P02270','G3'),
('P02270','P10'),
('E35290','64'),
('E35290','86'),
('E35300','64'),
('E35300','86'),
('E35340','54'),
('E35340','86'),
('E35340','87'),
('E35350','54'),
('E35350','86'),
('E35370','54'),
('E35370','86'),
('E35393','64'),
('E35393','86'),
('E35400','54'),
('E35400','86'),
('E35410','54'),
('E35410','86'),
('P02280','29'),
('P02280','31'),
('P02280','81'),
('P02280','82'),
('P02280','83'),
('P02280','G2'),
('P02280','G3'),
('P02280','G31'),
('P02280','P17'),
('P02280','P69'),
('P02280','P7'),
('P02280','P76'),
('P02490','1'),
('P02490','6'),
('P02490','11'),
('P02490','15'),
('P02490','29'),
('P02490','31'),
('P02490','39'),
('P02490','40'),
('P02490','44'),
('P02490','86'),
('P02490','88'),
('P02490','91'),
('P02490','G2'),
('P02490','G3'),
('P02490','G31'),
('P02490','P17'),
('P02490','P69'),
('P02490','P7'),
('P02490','P76'),
('P02320','7'),
('P02320','15'),
('P02320','28X'),
('P02320','G2'),
('P02320','G3'),
('P02320','P10'),
('P02320','P12'),
('P02320','P16'),
('P02320','P67'),
('P02530','1'),
('P02530','6'),
('P02530','11'),
('P02530','15'),
('P02530','39'),
('P02530','40'),
('P02530','44'),
('P02530','86'),
('P02530','88'),
('P02530','91'),
('P02530','G2'),
('P02530','G3'),
('P02530','P10'),
('P02530','P17'),
('P02530','P69'),
('P02530','P7'),
('P02530','P76'),
('P02530','P78'),
('E35430','64'),
('E35430','86'),
('E35440','64'),
('E35440','86'),
('P02550','28X'),
('P02550','77'),
('P02550','86'),
('P02550','88'),
('P02550','91'),
('P02650','26'),
('P02650','27'),
('P02650','28X'),
('P02650','29'),
('P02650','31'),
('P02650','G2'),
('P02650','G3'),
('P02650','G31'),
('P02650','P10'),
('P02610','86'),
('P02610','87'),
('P02610','88'),
('P02610','91'),
('E35470','54'),
('E35470','86'),
('E35470','87'),
('E35470','88'),
('E35470','91'),
('E35500','54'),
('E35500','86'),
('E35500','87'),
('E35500','88'),
('E35500','91'),
('E35510','54'),
('E35510','86'),
('E35510','87'),
('E35510','88'),
('E35510','91'),
('E35520','54'),
('E35520','86'),
('E35520','87'),
('E35520','88'),
('E35520','91'),
('E35570','54'),
('E35570','86'),
('E35570','87'),
('E35570','88'),
('E35570','91'),
('E35610','54'),
('E35610','86'),
('E35610','87'),
('E35395','64'),
('E35395','86'),
('P02670','1'),
('P02670','6'),
('P02670','11'),
('P02670','15'),
('P02670','P10'),
('P02670','P12'),
('P02670','P16'),
('P02670','P67'),
('S29255','52L'),
('S29243','59'),
('S29243','61C'),
('E35650','59'),
('E35980','82'),
('E35980','P17'),
('E35760','82'),
('E35760','P17'),
('E35770','82'),
('E35770','P17'),
('E35772','82'),
('N30190','16'),
('N30190','19L'),
('N30230','13'),
('N30230','16'),
('N30230','19L'),
('N30240','13'),
('N30240','16'),
('N30240','19L'),
('N70004','13'),
('N70004','16'),
('E35780','82'),
('E35780','P17'),
('E35790','82'),
('E35790','P17'),
('E35800','82'),
('E35800','P17'),
('N30280','13'),
('N30280','16'),
('N30280','19L'),
('E35810','82'),
('E35810','P17'),
('N70008','13'),
('N70008','16'),
('N70008','19L'),
('N30350','16'),
('N30350','19L'),
('N30360','16'),
('N30360','19L'),
('E35820','82'),
('E35820','P17'),
('N30370','13'),
('N30370','16'),
('N30370','19L'),
('N30400','13'),
('N30400','16'),
('E35830','82'),
('E35830','P17'),
('E35840','82'),
('E35840','P17'),
('E35880','82'),
('E35880','P17'),
('E35890','82'),
('E35890','P17'),
('E35900','82'),
('E35900','P17'),
('E35910','82'),
('E35910','P17'),
('E35920','82'),
('E35920','P17'),
('N30390','13'),
('N30390','16'),
('N30390','19L'),
('E35990','82'),
('E35990','P17'),
('E36000','82'),
('E36000','P17'),
('N30330','16'),
('N30330','19L'),
('N30460','16'),
('N30460','19L'),
('N30480','16'),
('N30480','19L'),
('N71218','16'),
('N71218','19L'),
('N30500','13'),
('N30500','16'),
('E35930','82'),
('E35930','P17'),
('E36020','82'),
('E36020','P17'),
('E36098','79'),
('E36098','82'),
('E36098','P17'),
('E36035','82'),
('E36035','P17'),
('E36040','82'),
('E36040','P17'),
('E36050','82'),
('E36050','P17'),
('E36052','82'),
('E36060','82'),
('E36060','P17'),
('E36070','82'),
('E36070','P17'),
('E70861','82'),
('E70861','P17'),
('N30310','13'),
('N30310','16'),
('N30310','19L'),
('N30300','13'),
('N30300','16'),
('N30300','19L'),
('N30560','16'),
('N30560','19L'),
('E70942','82'),
('E70942','P17'),
('E36095','82'),
('E36095','P17'),
('E35970','82'),
('E35970','P17'),
('E36100','82'),
('E36100','P17'),
('E36097','82'),
('E36097','P17'),
('E36110','P76'),
('E36120','P76'),
('E36130','P76'),
('E36140','P76'),
('E36145','P76'),
('E36170','P76'),
('E36180','P76'),
('E36190','P76'),
('E36340','P76'),
('E36150','P76'),
('E36220','P76'),
('E36240','P76'),
('E36268','P76'),
('E36265','P76'),
('E36260','P76'),
('E36280','P76'),
('E36300','P76'),
('E36330','55'),
('E36330','P76'),
('E36310','P76'),
('E36480','P76'),
('E36350','P76'),
('E36360','P76'),
('E36380','P76'),
('E36400','P76'),
('E36410','P76'),
('E36420','P76'),
('E36430','P76'),
('E36370','P76'),
('E36435','P76'),
('E36270','P76'),
('E36440','P76'),
('E36460','55'),
('E36460','P76'),
('E36450','P76'),
('E70016','59'),
('E70016','68'),
('E70016','P68'),
('E70017','59'),
('E70017','68'),
('E70017','P68'),
('E36910','59'),
('E36910','68'),
('E36910','P68'),
('E37030','59'),
('E37030','68'),
('E37030','P68'),
('E36970','59'),
('E36970','68'),
('E36970','P68'),
('W11721','38'),
('W11723','38'),
('W11726','38'),
('W11728','38'),
('W11732','38'),
('W11731','38'),
('W11671','38'),
('W11664','38'),
('W11665','38'),
('W11681','38'),
('W11685','38'),
('W11701','38'),
('W11720','38'),
('W11707','38'),
('W11733','38'),
('W11730','38'),
('W11734','38'),
('W11735','38'),
('W11775','38'),
('W11715','38'),
('W11716','38'),
('W11717','38'),
('W11718','38'),
('W11767','38'),
('W11754','38'),
('W11755','38'),
('W11765','38'),
('W11766','38'),
('W11704','38'),
('W11776','38'),
('N31100','21'),
('E37220','P16'),
('E37230','P16'),
('E37240','P16'),
('E37235','P16'),
('E37250','P16'),
('E37260','P16'),
('E37280','P16'),
('E37290','P16'),
('E37310','P16'),
('E37320','P16'),
('E37330','P16'),
('S30240','P76'),
('S70576','P76'),
('S30257','P76'),
('S30270','P76'),
('S30245','P76'),
('S70575','P76'),
('S30255','P76'),
('S30280','P76'),
('E70935','67'),
('E70934','67'),
('N31200','4'),
('N71234','4'),
('N31230','4'),
('N31270','4'),
('N31280','4'),
('N31220','4'),
('N31290','4'),
('N31300','4'),
('N31320','4'),
('N31340','4'),
('N31250','4'),
('N31360','4'),
('S30580','55'),
('S30580','56'),
('S30580','59'),
('S30580','60'),
('S30580','61C'),
('S30580','P7'),
('S30600','55'),
('S30600','56'),
('S30600','59'),
('S30600','60'),
('S30600','61C'),
('S30600','P7'),
('S30610','55'),
('S30610','56'),
('S30610','59'),
('S30610','60'),
('S30610','61C'),
('S30610','P7'),
('S30840','55'),
('S30840','56'),
('S30840','59'),
('S30840','60'),
('S30845','55'),
('S30845','56'),
('S30845','59'),
('S30845','60'),
('S30720','55'),
('S30720','56'),
('S30720','59'),
('S30890','55'),
('S30890','56'),
('S30890','59'),
('S30890','60'),
('S30590','55'),
('S30590','56'),
('S30590','59'),
('S30590','61C'),
('S30590','P7'),
('S30810','55'),
('S30810','56'),
('S30810','59'),
('S30810','60'),
('S30810','61C'),
('S30810','P7'),
('S30830','55'),
('S30830','56'),
('S30830','59'),
('S30830','61C'),
('S30830','P7'),
('S30735','55'),
('S30735','56'),
('S30735','59'),
('S30735','60'),
('S30735','61C'),
('S30735','P7'),
('N31400','12'),
('W70100','29'),
('W70104','29'),
('W70105','29'),
('W70101','29'),
('E37965','57'),
('N31610','1'),
('N31610','91'),
('N31620','1'),
('N31620','91'),
('N31640','1'),
('N31640','91'),
('X10260','41'),
('N31650','1'),
('N31650','91'),
('N31780','1'),
('N31780','91'),
('E38160','P16'),
('E38180','P16'),
('N31410','1'),
('N31410','91'),
('N31420','1'),
('N31420','91'),
('N31430','1'),
('N31430','91'),
('N31440','1'),
('N31440','91'),
('N31450','1'),
('N31450','91'),
('N31460','1'),
('N31460','91'),
('N31470','1'),
('N31470','91'),
('S70135','53'),
('S70135','53L'),
('N31480','1'),
('N31480','91'),
('N71206','91'),
('N31500','1'),
('N31500','91'),
('N31510','1'),
('N31510','91'),
('N31520','1'),
('N31520','91'),
('N31530','1'),
('N31530','91'),
('N31760','1'),
('N31760','91'),
('N31540','1'),
('N31540','91'),
('S31090','53'),
('S31090','53L'),
('S31130','53'),
('S31130','53L'),
('N31570','1'),
('N31570','91'),
('S31140','53'),
('S31140','53L'),
('E37980','68'),
('E37980','P68'),
('E37990','68'),
('E37990','P68'),
('W12250','31'),
('W12260','31'),
('S31210','53'),
('S31210','53L'),
('S31230','53'),
('S31230','53L'),
('S31555','53'),
('S31555','53L'),
('S31240','53'),
('S31240','53L'),
('S31260','53'),
('S31260','53L'),
('E38000','68'),
('E38000','P68'),
('E38010','68'),
('E38010','P68'),
('S31280','53'),
('S31280','53L'),
('N31580','1'),
('N31580','91'),
('S31300','53'),
('S31300','53L'),
('S31340','53'),
('S31340','53L'),
('E38030','68'),
('E38030','P68'),
('E38040','68'),
('E38040','P68'),
('E38050','54'),
('E38050','93'),
('E38300','54'),
('E38300','93'),
('W12350','31'),
('X10270','41'),
('S31370','53'),
('S31370','53L'),
('S31390','53'),
('S31390','53L'),
('E38060','68'),
('E38060','P68'),
('S31380','53'),
('S31380','53L'),
('S31460','53'),
('S31460','53L'),
('S31470','53'),
('S31470','53L'),
('S31480','53'),
('S31480','53L'),
('S31490','53'),
('S31490','53L'),
('S31500','53'),
('S31500','53L'),
('E38070','54'),
('E38070','93'),
('N31590','1'),
('N31590','91'),
('N31600','1'),
('N31600','91'),
('E38100','P16'),
('E38110','68'),
('E38110','P68'),
('E38120','68'),
('E38120','P68'),
('X10275','41'),
('E38200','P16'),
('X10285','41'),
('S31580','53'),
('S31580','53L'),
('S31590','53'),
('S31590','53L'),
('S31220','53'),
('S31220','53L'),
('S31730','53'),
('S31730','53L'),
('S31650','53'),
('S31650','53L'),
('S31660','53'),
('S31660','53L'),
('E38170','P16'),
('S31610','53'),
('S31610','53L'),
('S31690','53'),
('S31690','53L'),
('X10265','41'),
('S31790','53'),
('S31790','53L'),
('N31660','1'),
('N31660','91'),
('N31670','1'),
('N31670','91'),
('N31680','1'),
('N31680','91'),
('N31700','1'),
('N31700','91'),
('N31710','1'),
('N31710','91'),
('N31720','1'),
('N31720','91'),
('N31730','1'),
('N31730','91'),
('N31750','1'),
('N31750','91'),
('N31550','1'),
('N31550','91'),
('S31700','53'),
('S31700','53L'),
('N31770','1'),
('N31770','91'),
('S31750','53'),
('S31750','53L'),
('W12620','31'),
('S31770','53'),
('S31770','53L'),
('X10280','41'),
('E38325','67'),
('E38305','67'),
('E38322','67'),
('E38322','68'),
('E38322','P68'),
('E38355','67'),
('E38340','67'),
('E38330','67'),
('E38350','67'),
('E38350','68'),
('E38350','P68'),
('E38560','P67'),
('N31790','17'),
('N31790','18'),
('N31800','17'),
('N31800','18'),
('N31810','17'),
('N31810','18'),
('N31805','17'),
('N31805','18'),
('E38660','68'),
('E38660','P68'),
('E38661','68'),
('E38661','P68'),
('E38715','68'),
('E38715','P68'),
('E38666','68'),
('E38666','P68'),
('S70466','Y49'),
('S32090','Y49'),
('E38725','68'),
('E38725','P68'),
('E38667','68'),
('E38667','P68'),
('S32150','59'),
('E38669','68'),
('E38669','P68'),
('S32220','59'),
('E38770','79'),
('E38770','P17'),
('E38790','79'),
('E38790','P17'),
('E38810','79'),
('E38810','P17'),
('E38730','79'),
('E38730','P17'),
('E38750','79'),
('E38750','P17'),
('N31845','17'),
('N31856','17'),
('N31862','17'),
('N31866','17'),
('N31878','17'),
('N31886','17'),
('N71304','6'),
('N31907','6'),
('N31905','6'),
('W70037','29'),
('S33070','60'),
('S33080','60'),
('S33110','60'),
('S33120','60'),
('E70307','71'),
('E70307','P71'),
('E70306','71'),
('E70306','P71'),
('S33235','53'),
('W13330','22'),
('W13500','22'),
('W13350','22'),
('W13380','22'),
('W13390','22'),
('W13190','22'),
('W13210','22'),
('W13220','22'),
('W13250','22'),
('W13260','22'),
('W70111','22'),
('W13270','22'),
('W13280','22'),
('W13290','22'),
('W13300','22'),
('W70133','22'),
('W13310','22'),
('W70132','22'),
('W13420','22'),
('W13450','22'),
('W13460','22'),
('W13200','22'),
('W13470','22'),
('W13505','22'),
('W13520','22'),
('E38900','67'),
('X10640','36'),
('X70024','36'),
('N32330','O5'),
('N32350','O5'),
('N32360','O5'),
('N32380','12'),
('N32375','12'),
('W70033','29'),
('W70034','29'),
('W13613','24'),
('S33262','61C'),
('S70594','60'),
('S70297','55'),
('S33270','54'),
('S33290','54'),
('S33280','54'),
('S33300','54'),
('S33320','54'),
('N71307','O12'),
('N71307','P13'),
('N32410','12'),
('N32410','O12'),
('N32420','12'),
('N32420','O12'),
('N32430','12'),
('N32430','O12'),
('N32490','12'),
('N32490','O12'),
('N32530','12'),
('N32530','O12'),
('N32540','O12'),
('N32540','P13'),
('N32560','O12'),
('N32570','O12'),
('N70086','O12'),
('N32590','12'),
('N32650','2'),
('N32650','12'),
('N32650','O12'),
('N70092','12'),
('N70092','O12'),
('N32670','12'),
('N32670','O12'),
('N32680','12'),
('N32680','O12'),
('N70099','2'),
('N70099','12'),
('N70099','O12'),
('N32690','O12'),
('N32690','P13'),
('N32700','12'),
('N32700','O12'),
('N32720','O12'),
('N32720','P13'),
('N32730','2'),
('N32730','12'),
('N32730','O12'),
('N32730','P13'),
('N32740','12'),
('N32740','O12'),
('N32480','2'),
('N32480','12'),
('N32480','O12'),
('N32770','12'),
('N32770','O12'),
('N32780','2'),
('N32780','12'),
('N32780','O12'),
('N32790','12'),
('N32790','O12'),
('N32750','12'),
('N32750','O12'),
('N32400','12'),
('N32400','O12'),
('N32400','P13'),
('N32815','2'),
('N32815','12'),
('N32815','O12'),
('N32820','O12'),
('N32840','O12'),
('N32850','O12'),
('N32855','12'),
('N32855','O12'),
('N70104','2'),
('N70104','12'),
('N70104','O12'),
('N70104','P13'),
('N32890','2'),
('N32890','12'),
('N32890','O12'),
('N32460','2'),
('N32460','12'),
('N32460','O12'),
('N32930','2'),
('N32930','12'),
('N32930','O12'),
('N32940','2'),
('N32940','12'),
('N32940','O12'),
('N33000','2'),
('N33000','12'),
('N33000','O12'),
('N32980','12'),
('N32980','O12'),
('N33025','12'),
('N33025','O12'),
('N70085','O12'),
('N33040','12'),
('N70012','2'),
('N70012','12'),
('N70012','O12'),
('N33120','2'),
('N33120','12'),
('N33120','O12'),
('N33100','12'),
('N33100','O12'),
('S33266','60'),
('N33210','11'),
('N33200','11'),
('N33230','11'),
('N33220','11'),
('S33650','52L'),
('S33650','59'),
('S33660','52L'),
('S33660','59'),
('S33675','52L'),
('S33675','59'),
('S33680','52L'),
('S33680','59'),
('S33690','52L'),
('S33690','59'),
('S33710','52L'),
('S33710','59'),
('S33720','52L'),
('S33720','59'),
('S33730','52L'),
('S33730','59'),
('E70839','71B'),
('N33650','14'),
('N33600','14'),
('N33660','14'),
('N33470','14'),
('N33500','14'),
('N33490','14'),
('N33570','14'),
('N33560','14'),
('N33580','14'),
('N33590','14'),
('N33630','14'),
('N33680','14'),
('N33595','14'),
('N33610','14'),
('N33540','14'),
('N33677','14'),
('N33675','14'),
('X11125','39'),
('X11140','39'),
('X11150','39'),
('N33700','18'),
('N33710','18'),
('N33705','18'),
('S70311','54'),
('S70269','54'),
('E39190','69'),
('E39190','P69'),
('E39200','69'),
('E39200','P69'),
('E39050','69'),
('E39050','P69'),
('E39060','69'),
('E39060','P69'),
('E39080','69'),
('E39080','P69'),
('E39130','69'),
('E39130','P69'),
('E39150','69'),
('E39150','P69'),
('E39160','69'),
('E39160','P69'),
('E39140','61A'),
('W14390','27'),
('W14420','27'),
('W14430','27'),
('W14210','27'),
('W14220','27'),
('W14270','27'),
('W14300','27'),
('W14310','27'),
('W14340','27'),
('W14350','27'),
('W14360','27'),
('W14450','27'),
('W14460','27'),
('W14480','27'),
('W14490','27'),
('W14495','27'),
('W14540','27'),
('W14570','27'),
('W14580','27'),
('S33880','59'),
('S33900','59'),
('S33960','59'),
('S34000','59'),
('S34010','59'),
('S34300','56'),
('S34220','53'),
('S34220','53L'),
('S34220','56'),
('S34310','56'),
('S34280','56'),
('S34070','56'),
('S34080','56'),
('S34180','56'),
('S34150','53'),
('S34150','53L'),
('S34150','56'),
('S34160','53'),
('S34160','53L'),
('S34160','56'),
('S34170','53'),
('S34170','53L'),
('S34170','56'),
('S34270','56'),
('S34060','56'),
('S34400','53'),
('S34400','53L'),
('S34400','56'),
('S34320','56'),
('S34330','56'),
('S34340','53'),
('S34340','53L'),
('S34340','56'),
('S70410','52L'),
('S70414','52L'),
('S70411','52L'),
('S70413','52L'),
('S70412','52L'),
('E39210','59'),
('E39210','61B'),
('E39210','71'),
('E39210','P7'),
('E39220','59'),
('E39220','61B'),
('E39220','71'),
('E39220','P7'),
('E39230','59'),
('E39230','61B'),
('E39230','71'),
('E39230','P7'),
('E70346','P16'),
('E30045','P16'),
('E70363','P16'),
('E70345','P16'),
('E70434','P16'),
('E70360','P16'),
('E70357','P16'),
('E70359','P16'),
('E39270','54'),
('E39280','54'),
('E39300','54'),
('E39310','54'),
('E39320','54'),
('E70144','54'),
('E39340','54'),
('E39350','54'),
('E39360','54'),
('E39370','54'),
('E39390','83'),
('E70452','83'),
('E39400','83'),
('E70746','74'),
('E70747','74'),
('E39580','59'),
('E39580','61B'),
('E39580','71'),
('E39580','P7'),
('E39590','59'),
('E39590','61B'),
('E39590','71'),
('E39590','P7'),
('S70338','55'),
('S70337','55'),
('S70366','55'),
('S70336','55'),
('S70367','55'),
('S70335','55'),
('S70295','55'),
('S70296','55'),
('S70334','55'),
('S70369','55'),
('S70333','55'),
('S70370','55'),
('S70332','55'),
('S70371','55'),
('S70417','55'),
('E39540','61B'),
('E39540','71'),
('E39540','P71'),
('E39550','59'),
('E39550','61B'),
('E39550','71'),
('E39550','P7'),
('S70339','55'),
('S70364','55'),
('E39560','61B'),
('E39560','71'),
('E39560','P71'),
('S70341','55'),
('E39575','61B'),
('E39575','71'),
('E39575','P71'),
('E39600','61B'),
('E39600','71'),
('E39600','P71'),
('E39610','61B'),
('E39610','71'),
('E39610','P71'),
('E39630','59'),
('E39630','61B'),
('E39630','71'),
('E39630','P7'),
('E39670','61B'),
('E39670','P71'),
('S70365','55'),
('S70368','55'),
('S70418','55'),
('E39700','59'),
('E39700','61B'),
('E39700','71'),
('E39700','P7'),
('S70362','55'),
('E39640','61B'),
('E39640','71'),
('E39640','P71'),
('E39650','61B'),
('E39650','P71'),
('S34990','59'),
('S34990','61C'),
('S35050','59'),
('S35050','61C'),
('E39940','68'),
('E39940','P68'),
('E39960','68'),
('E39960','P68'),
('E40100','68'),
('E40100','P68'),
('E39950','68'),
('E39950','P68'),
('E40110','68'),
('E40110','P68'),
('E70278','77'),
('E70278','P16'),
('E40190','77'),
('E40210','77'),
('E40220','77'),
('E40240','77'),
('E40250','77'),
('E40260','77'),
('E40350','78'),
('E40350','79'),
('E40350','P78'),
('E40360','78'),
('E40360','79'),
('E40360','P78'),
('E40370','78'),
('E40370','79'),
('E40370','P78'),
('E40375','78'),
('E40375','79'),
('E40270','78'),
('E40270','79'),
('E40270','P78'),
('E40290','78'),
('E40290','79'),
('E40290','P78'),
('E40300','78'),
('E40300','79'),
('E40300','P78'),
('E40310','78'),
('E40310','79'),
('E40310','P78'),
('E40330','78'),
('E40330','P78'),
('E40320','78'),
('E40320','79'),
('E40320','P78'),
('E40280','78'),
('E40280','79'),
('E40280','P78'),
('E70399','89'),
('E70397','89'),
('E70396','89'),
('E70398','89'),
('S35200','44'),
('S70467','44'),
('S70565','44'),
('S70258','44'),
('S35233','55'),
('S35233','59'),
('S35226','51'),
('S35226','53'),
('S35226','53L'),
('S35226','55'),
('S35226','59'),
('S35226','Y47'),
('S35226','Y49'),
('S35231','55'),
('S35231','59'),
('S70564','51'),
('S70564','53L'),
('S70564','55'),
('S35234','55'),
('S35234','59'),
('W15700','26'),
('E40770','79'),
('E40770','P17'),
('E40810','79'),
('E40810','P17'),
('E40815','79'),
('E70262','79'),
('E40820','79'),
('E40825','79'),
('E40825','P17'),
('E70949','79'),
('E40840','P17'),
('E40860','79'),
('E40890','79'),
('E40950','79'),
('E40950','P17'),
('E70263','79'),
('E70260','79'),
('E70260','P17'),
('E70261','79'),
('E70261','P17'),
('E40970','79'),
('E40980','79'),
('E70948','79'),
('E70948','P17'),
('E40990','79'),
('E40990','P17'),
('N35560','6'),
('N35560','15'),
('N35570','6'),
('N35570','15'),
('N35640','6'),
('N35640','15'),
('N35490','6'),
('N35490','15'),
('N35500','6'),
('N35500','15'),
('N35510','6'),
('N35510','15'),
('N35540','6'),
('N35540','15'),
('N35550','6'),
('N35550','15'),
('N35630','6'),
('N35630','15'),
('N35650','2'),
('N35650','P13'),
('N35660','2'),
('N35660','P13'),
('N35670','2'),
('N35670','P13'),
('N35700','2'),
('N35700','P13'),
('N36450','2'),
('N36450','P13'),
('N35740','2'),
('N35740','P13'),
('N35760','2'),
('N35760','P13'),
('N36520','2'),
('N36520','P13'),
('N35820','2'),
('N35820','P13'),
('N35810','2'),
('N35810','P13'),
('N35830','2'),
('N35830','P13'),
('N36550','2'),
('N36550','P13'),
('N35850','2'),
('N35850','P13'),
('N35765','2'),
('N35765','P13'),
('N35890','2'),
('N35890','P13'),
('N35900','2'),
('N35900','P13'),
('N35920','2'),
('N35920','P13'),
('N35930','2'),
('N35930','P13'),
('N35940','2'),
('N35940','P13'),
('N35950','2'),
('N35950','P13'),
('N36570','2'),
('N36570','P13'),
('N35990','2'),
('N35990','P13'),
('N36050','2'),
('N36050','P13'),
('N36080','2'),
('N36080','P13'),
('N36085','2'),
('N36085','P13'),
('N36100','2'),
('N36100','P13'),
('N36200','2'),
('N36200','P13'),
('N36055','2'),
('N36055','P13'),
('N36210','2'),
('N36210','P13'),
('N36220','2'),
('N36220','P13'),
('N36290','2'),
('N36290','P13'),
('N36300','2'),
('N36300','P13'),
('N36340','2'),
('N36340','P13'),
('N36370','2'),
('N36370','P13'),
('N36350','2'),
('N36350','P13'),
('N36360','2'),
('N36360','P13'),
('N36380','2'),
('N36380','P13'),
('N36390','2'),
('N36390','P13'),
('N36440','2'),
('N36440','P13'),
('N36460','2'),
('N36460','P13'),
('N36480','2'),
('N36480','P13'),
('N36500','2'),
('N36500','P13'),
('N36530','2'),
('N36530','P13'),
('N36502','2'),
('N36502','P13'),
('N36540','2'),
('N36540','P13'),
('N36560','2'),
('N36560','P13'),
('N36600','2'),
('N36600','P13'),
('N36650','2'),
('N36650','P13'),
('N36690','2'),
('N36690','P13'),
('N36730','2'),
('N36730','P13'),
('N36740','2'),
('N36740','P13'),
('N37130','4'),
('N37140','4'),
('N37150','4'),
('N37160','4'),
('N37195','4'),
('N37170','4'),
('N37180','4'),
('N37205','4'),
('N37080','4'),
('N37190','4'),
('N37200','4'),
('N36920','4'),
('N37120','4'),
('N36930','4'),
('N36940','4'),
('N37290','4'),
('N36955','4'),
('N36960','4'),
('N36980','4'),
('N36990','4'),
('N37010','4'),
('N37020','4'),
('N37040','4'),
('N37050','4'),
('N37060','4'),
('N37070','4'),
('N37110','4'),
('N37210','4'),
('N37220','4'),
('N37320','4'),
('N37330','4'),
('N37090','4'),
('N37340','4'),
('N37300','4'),
('N37240','4'),
('N36950','4'),
('N37250','4'),
('N36970','4'),
('N37260','4'),
('N37000','4'),
('N37270','4'),
('N37030','4'),
('N37280','4'),
('N37310','4'),
('N37360','4'),
('N37370','4'),
('E41040','65'),
('E41050','65'),
('E41060','65'),
('S70572','52L'),
('E41350','58'),
('E41350','61C'),
('E41350','61D'),
('E41350','64'),
('E41350','93'),
('E41070','74'),
('E41080','74'),
('E41090','61C'),
('E41090','61D'),
('E41090','64'),
('E41100','61C'),
('E41100','61D'),
('E41100','64'),
('E41110','61C'),
('E41110','61D'),
('E41110','64'),
('E41120','58'),
('E41120','61C'),
('E41120','61D'),
('E41120','64'),
('E41120','93'),
('E41140','61C'),
('E41140','61D'),
('E41140','64'),
('E41150','61C'),
('E41150','61D'),
('E41150','64'),
('E41150','93'),
('E41160','58'),
('E41160','61C'),
('E41160','61D'),
('E41160','64'),
('E41160','93'),
('E41170','64'),
('E41180','74'),
('E41190','58'),
('E41190','61C'),
('E41190','61D'),
('E41190','64'),
('E41190','93'),
('E41200','58'),
('E41200','61C'),
('E41200','61D'),
('E41200','64'),
('E41200','93'),
('E41220','61C'),
('E41220','61D'),
('E41220','64'),
('E41220','93'),
('E41210','61C'),
('E41210','61D'),
('E41210','64'),
('E41210','93'),
('E41230','58'),
('E41230','61C'),
('E41230','61D'),
('E41230','64'),
('E41230','93'),
('E41240','58'),
('E41240','61C'),
('E41240','61D'),
('E41240','64'),
('E41240','93'),
('E41260','61C'),
('E41260','61D'),
('E41260','64'),
('E41260','93'),
('E41270','61C'),
('E41270','61D'),
('E41270','64'),
('E41270','93'),
('E41280','61C'),
('E41280','61D'),
('E41280','64'),
('E41280','93'),
('E41290','58'),
('E41290','61C'),
('E41290','61D'),
('E41290','64'),
('E41290','93'),
('E41310','74'),
('E41320','74'),
('E41330','58'),
('E41330','61C'),
('E41330','61D'),
('E41330','64'),
('E41330','93'),
('E41360','74'),
('E41365','74'),
('E41370','58'),
('E41370','61C'),
('E41370','61D'),
('E41370','64'),
('E41370','93'),
('E41380','61C'),
('E41380','61D'),
('E41380','64'),
('E41380','93'),
('E41390','74'),
('E41400','74'),
('E41130','61C'),
('E41130','61D'),
('E41130','64'),
('E41130','93'),
('E41300','61C'),
('E41300','61D'),
('E41300','64'),
('E41300','93'),
('N14640','15'),
('N14645','15'),
('N14460','15'),
('N14480','15'),
('N14490','15'),
('N14500','15'),
('N14510','15'),
('N14540','15'),
('N14550','15'),
('N14570','15'),
('N14580','15'),
('N14590','11'),
('N14590','15'),
('N14600','11'),
('N14600','15'),
('N14610','11'),
('N14610','15'),
('N14620','15'),
('N14630','11'),
('N14630','15'),
('N14660','11'),
('N14660','15'),
('N14670','15'),
('N14680','15'),
('N14770','15'),
('N14647','15'),
('N14470','15'),
('N14690','15'),
('N14710','15'),
('N14720','15'),
('N14730','15'),
('N14740','15'),
('N14780','15'),
('N14790','15'),
('N14800','15'),
('E41670','71A'),
('E41670','71C'),
('E41670','77'),
('E70014','71A'),
('E70014','71C'),
('E41690','71A'),
('E41690','87'),
('E41720','71A'),
('E41720','87'),
('E41910','71A'),
('E41910','87'),
('E41730','71A'),
('E41745','64'),
('E41750','71A'),
('E41750','71C'),
('E41750','77'),
('E41750','87'),
('E41755','64'),
('E41760','71A'),
('E41760','87'),
('E41770','64'),
('E41771','64'),
('E41780','64'),
('E41781','64'),
('E41790','71A'),
('E41790','71C'),
('E41790','77'),
('E41800','71A'),
('E41800','71C'),
('E41800','77'),
('E41810','71A'),
('E41820','71A'),
('E41830','71A'),
('E41830','87'),
('E41840','71A'),
('E41840','87'),
('E41850','71A'),
('E41860','71A'),
('E41866','64'),
('E41865','64'),
('E41870','71A'),
('E41870','87'),
('E41890','71A'),
('E41890','71C'),
('E41890','77'),
('E41890','87'),
('E41900','71A'),
('E41900','71C'),
('E41900','77'),
